exp_num,defense_name,attack,model,dataset,poison_rate,CDA_before,ASR_before,CDA_after,ASR_after,elapsed_time
0,I-BAU,dfst,resnet18,cifar10,0.05,0.9,0.654,0.5129,0.2334,73.56
0,I-BAU,grond,resnet18,cifar10,0.05,0.6178,0.4248,0.5378,0.0331,73.52
0,I-BAU,wanet,resnet18,cifar10,0.05,0.5732,0.9847,0.4764,0.327,73.81
0,I-BAU,blended,resnet18,cifar10,0.05,0.5874,0.9977,0.6087,0.3333,74.06
0,I-BAU,adaptive_blend,resnet18,cifar10,0.05,0.5837,0.2317,0.6079,0.0831,73.95
0,I-BAU,bpp,resnet18,cifar10,0.05,0.5786,0.9984,0.3607,0.334,73.95
0,I-BAU,badnet,resnet18,cifar10,0.05,0.6016,1.0,0.4968,0.3463,74.44
0,I-BAU,adaptive_patch,resnet18,cifar10,0.05,0.5739,0.1078,0.5426,0.1123,73.81
0,I-BAU,narcissus,resnet18,cifar10,0.05,0.5994,1.0,0.5591,0.1449,74.3
0,I-BAU,dfst,resnet18,cifar10,0.003,0.8258,0.3237,0.5346,0.0582,73.83
0,I-BAU,grond,resnet18,cifar10,0.003,0.6457,0.2009,0.6201,0.1679,73.86
0,I-BAU,adaptive_patch,resnet18,cifar10,0.003,0.592,0.8826,0.585,0.0804,73.82
0,I-BAU,adaptive_blend,resnet18,cifar10,0.003,0.6114,0.045,0.5933,0.056,73.77
0,I-BAU,bpp,resnet18,cifar10,0.003,0.5758,0.0053,0.5133,0.34,73.93
0,I-BAU,badnet,resnet18,cifar10,0.003,0.6044,1.0,0.6254,0.0281,74.01
0,I-BAU,blended,resnet18,cifar10,0.003,0.581,0.9482,0.6127,0.0003,73.81
0,I-BAU,narcissus,resnet18,cifar10,0.003,0.6068,0.9887,0.6046,0.0,73.95
0,I-BAU,wanet,resnet18,cifar10,0.003,0.5173,0.2032,0.5483,0.3379,74.26
0,I-BAU,dfst,resnet18,imagenette,0.003,0.5594,0.4568,0.6928,0.0102,467.15
0,I-BAU,grond,resnet18,imagenette,0.003,0.4881,0.0051,0.7216,0.0161,466.81
0,I-BAU,adaptive_blend,resnet18,imagenette,0.003,0.4763,0.5254,0.7434,0.0195,466.93
0,I-BAU,narcissus,resnet18,imagenette,0.003,0.5766,0.136,0.6501,0.0,466.98
0,I-BAU,blended,resnet18,imagenette,0.003,0.5565,0.7352,0.6006,0.0014,467.11
0,I-BAU,bpp,resnet18,imagenette,0.003,0.5701,0.0102,0.5899,0.0003,466.66
0,I-BAU,adaptive_patch,resnet18,imagenette,0.003,0.4845,0.0172,0.7041,0.0011,467.16
0,I-BAU,badnet,resnet18,imagenette,0.003,0.5562,0.8669,0.7032,0.0,467.13
0,I-BAU,wanet,resnet18,imagenette,0.003,0.4491,0.6102,0.7205,0.0,466.9
0,I-BAU,dfst,resnet18,imagenette,0.05,0.7937,0.3236,0.6747,0.0082,466.41
0,I-BAU,adaptive_blend,resnet18,imagenette,0.05,0.4585,0.8745,0.6877,0.0288,466.7
0,I-BAU,grond,resnet18,imagenette,0.05,0.509,0.009,0.725,0.0107,466.64
0,I-BAU,wanet,resnet18,imagenette,0.05,0.2343,0.9717,0.6993,0.0,466.64
0,I-BAU,adaptive_patch,resnet18,imagenette,0.05,0.4839,0.6696,0.7117,0.0209,467.01
0,I-BAU,badnet,resnet18,imagenette,0.05,0.5546,1.0,0.6656,0.0,467.34
0,I-BAU,blended,resnet18,imagenette,0.05,0.5311,0.9887,0.6874,0.0,466.75
0,I-BAU,bpp,resnet18,imagenette,0.05,0.5907,0.736,0.5339,0.0006,466.79
0,I-BAU,narcissus,resnet18,imagenette,0.05,0.5554,0.8612,0.6648,0.0,468.2
